[rosmaster.main][INFO] 2023-03-07 20:15:06,777: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2023-03-07 20:15:06,777: Starting ROS Master Node
[xmlrpc][INFO] 2023-03-07 20:15:06,778: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2023-03-07 20:15:06,778: Started XML-RPC server [http://kangsuyeon:11311/]
[xmlrpc][INFO] 2023-03-07 20:15:06,778: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2023-03-07 20:15:06,778: Master initialized: port[11311], uri[http://kangsuyeon:11311/]
[rosmaster.master][INFO] 2023-03-07 20:15:06,864: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2023-03-07 20:15:06,867: +PARAM [/roslaunch/uris/host_kangsuyeon__36405] by /roslaunch
[rosmaster.master][INFO] 2023-03-07 20:15:06,905: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2023-03-07 20:15:06,905: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2023-03-07 20:15:06,914: +SERVICE [/rosout/get_loggers] /rosout http://kangsuyeon:35189/
[rosmaster.master][INFO] 2023-03-07 20:15:06,915: +SERVICE [/rosout/set_logger_level] /rosout http://kangsuyeon:35189/
[rosmaster.master][INFO] 2023-03-07 20:15:06,915: +PUB [/rosout_agg] /rosout http://kangsuyeon:35189/
[rosmaster.master][INFO] 2023-03-07 20:15:06,917: +SUB [/rosout] /rosout http://kangsuyeon:35189/
[rosmaster.master][INFO] 2023-03-07 20:21:29,486: +PUB [/rosout] /turtlesim http://kangsuyeon:46245/
[rosmaster.master][INFO] 2023-03-07 20:21:29,486: +SERVICE [/turtlesim/get_loggers] /turtlesim http://kangsuyeon:46245/
[rosmaster.master][INFO] 2023-03-07 20:21:29,486: +SERVICE [/turtlesim/set_logger_level] /turtlesim http://kangsuyeon:46245/
[rosmaster.master][INFO] 2023-03-07 20:21:29,489: +PARAM [/turtlesim/background_r] by /turtlesim
[rosmaster.master][INFO] 2023-03-07 20:21:29,489: +PARAM [/turtlesim/background_g] by /turtlesim
[rosmaster.master][INFO] 2023-03-07 20:21:29,489: +PARAM [/turtlesim/background_b] by /turtlesim
[rosmaster.master][INFO] 2023-03-07 20:21:29,505: +SERVICE [/clear] /turtlesim http://kangsuyeon:46245/
[rosmaster.master][INFO] 2023-03-07 20:21:29,505: +SERVICE [/reset] /turtlesim http://kangsuyeon:46245/
[rosmaster.master][INFO] 2023-03-07 20:21:29,505: +SERVICE [/spawn] /turtlesim http://kangsuyeon:46245/
[rosmaster.master][INFO] 2023-03-07 20:21:29,506: +SERVICE [/kill] /turtlesim http://kangsuyeon:46245/
[rosmaster.master][INFO] 2023-03-07 20:21:29,506: +CACHEDPARAM [/rosout_disable_topics_generation] by /turtlesim
